text,label
"Artificial intelligence is the simulation of human intelligence in machines.",tech
"Bitcoin is a decentralized digital currency that can be transferred on the peer-to-peer bitcoin network.",economics_finance
"COVID-19 is a contagious disease caused by the SARS-CoV-2 virus.",health
"The team won the championship in a stunning overtime victory.",sports
"The Federal Reserve announced a change in interest rates, affecting the entire economy.",economics_finance
"Regular exercise can significantly improve both physical and mental well-being.",health
"The World Cup is one of the most-watched sporting events globally.",sports
"Quantum computing aims to solve problems too complex for classical computers by using principles of quantum mechanics.",tech
"Climate change refers to long-term shifts in temperatures and weather patterns.",science
"Blockchain is a distributed ledger with growing lists of records (blocks) that are securely linked together via cryptographic hashes.",tech
"A neural network is a series of algorithms that endeavors to recognize underlying relationships in a set of data through a process that mimics the way the human brain operates.",tech
"Cryptography is the practice and study of techniques for secure communication in the presence of third parties called adversaries.",tech
"Philosophy is the systematized study of general and fundamental questions, such as those about existence, reason, knowledge, values, mind, and language.",philosophy
"Cybersecurity is the protection of computer systems and networks from information disclosure, theft of or damage to their hardware, software, or electronic data.",tech
"Deep learning is a type of machine learning based on artificial neural networks in which multiple layers of processing are used to extract progressively higher-level features from data.",tech
"Computer vision is an interdisciplinary scientific field that deals with how computers can gain high-level understanding from digital images or videos.",tech
"Data mining is the process of discovering patterns in large data sets involving methods at the intersection of machine learning, statistics, and database systems.",tech
"Big data is a field that treats ways to analyze, systematically extract information from, or otherwise deal with data sets that are too large or complex to be dealt with by traditional data-processing application software.",tech
"Cloud computing is the on-demand availability of computer system resources, especially data storage and computing power, without direct active management by the user.",tech
"Ethereum is a decentralized, open-source blockchain with smart contract functionality.",economics_finance
"Information security, sometimes shortened to infosec, is the practice of protecting information by mitigating information risks.",tech
"The Internet of Things (IoT) describes physical objects that are embedded with sensors, processing ability, software, and other technologies that connect and exchange data with other devices and systems over the Internet.",tech
"Augmented reality (AR) is an interactive experience of a real-world environment where the objects that reside in the real world are enhanced by computer-generated perceptual information.",tech
"Robotics is an interdisciplinary branch of computer science and engineering that involves the design, construction, operation, and use of robots.",tech
"Bioinformatics is an interdisciplinary field that develops methods and software tools for understanding biological data, especially when the data sets are large and complex.",health
"Genomics is an interdisciplinary field of biology focusing on the structure, function, evolution, mapping, and editing of genomes.",science
"CRISPR is a family of DNA sequences found in the genomes of prokaryotic organisms such as bacteria and archaea.",science
"Evolutionary biology is the subfield of biology that studies the evolutionary processes that produced the diversity of life on Earth.",science
"Global warming is the long-term heating of Earth's climate system observed since the pre-industrial period (between 1850 and 1900) due to human activities.",science
"Renewable energy is useful energy that is collected from renewable resources, which are naturally replenished on a human timescale, including carbon neutral sources like sunlight, wind, rain, tides, waves, and geothermal heat.",science
"Space exploration is the use of astronomy and space technology to explore outer space.",science
"Cosmology is a branch of astronomy concerned with the study of the origin and evolution of the universe, from the Big Bang to today and on into the future.",science
"Particle physics is a branch of physics that studies the nature of the particles that constitute matter and radiation.",science
"The history of science is the study of the development of science and scientific knowledge, including both the natural and social sciences.",history
"The Roman Empire was the post-Republican period of ancient Rome.",history
"The Renaissance was a period in European history marking the transition from the Middle Ages to modernity and covering the 15th and 16th centuries.",history
"The Industrial Revolution was the transition to new manufacturing processes in Europe and the United States, in the period from about 1760 to sometime between 1820 and 1840.",history
"World War I, also known as the First World War, was a global war that lasted from 1914 to 1918.",history
"The French Revolution was a period of radical political and societal change in France that began with the Estates General of 1789 and ended with the formation of the French Consulate in November 1799.",history
"Economics is the social science that studies the production, distribution, and consumption of goods and services.",economics_finance
"Macroeconomics is a branch of economics dealing with the performance, structure, behavior, and decision-making of an economy as a whole.",economics_finance
"Supply and demand is a model in microeconomics that shows how the price of a good or service is determined in a competitive market.",economics_finance
"Monetary policy is the policy adopted by the monetary authority of a nation to control either the interest rate payable for very short-term borrowing or the money supply.",economics_finance
"The stock market refers to the collection of markets and exchanges where regular activities of buying, selling, and issuance of shares of publicly-held companies take place.",economics_finance
"Game theory is the study of mathematical models of strategic interactions among rational agents.",economics_finance
"Psychology is the scientific study of mind and behavior.",philosophy
"Neuroscience is the scientific study of the nervous system.",science
"Ethics or moral philosophy is a branch of philosophy that involves systematizing, defending, and recommending concepts of right and wrong conduct.",philosophy
"Logic is the study of correct reasoning.",philosophy
"Metaphysics is the branch of philosophy that examines the fundamental nature of reality, including the relationship between mind and matter, between substance and attribute, and between potentiality and actuality.",philosophy
"Sociology is a social science that focuses on society, human social behavior, patterns of social relationships, social interaction, and aspects of culture associated with everyday life.",philosophy
"Linguistics is the scientific study of language.",philosophy
"Literature most broadly is any collection of written work, but it is also used more narrowly for writings specifically considered to be an art form.",art_culture
"Poetry is a form of literature that uses aesthetic and often rhythmic qualities of language—such as phonaesthetics, sound symbolism, and metre—to evoke meanings in addition to, or in place of, the prosaic ostensible meaning.",art_culture
"William Shakespeare was an English playwright, poet and actor, widely regarded as the greatest writer in the English language and the world's greatest dramatist.",art_culture
"Art history is the study of objects of art in their historical development and stylistic contexts.",art_culture
"Impressionism is a 19th-century art movement characterized by relatively small, thin, yet visible brush strokes, open composition, emphasis on accurate depiction of light in its changing qualities.",art_culture
"Cubism is an early-20th-century avant-garde art movement that revolutionized European painting and sculpture, and inspired related movements in music, literature and architecture.",art_culture
"Film studies is an academic discipline that deals with various theoretical, historical, and critical approaches to films.",art_culture
"Music theory is the study of the practices and possibilities of music.",art_culture
"Classical music is art music produced or rooted in the traditions of Western culture, including both liturgical and secular music.",art_culture
"Jazz is a music genre that originated in the African-American communities of New Orleans, Louisiana, in the late 19th and early 20th centuries.",art_culture
"Christianity is an Abrahamic monotheistic religion based on the life and teachings of Jesus of Nazareth.",art_culture
"Buddhism is an Indian religion or philosophical tradition based on a series of original teachings attributed to Gautama Buddha.",philosophy
"Hinduism is an Indian religion and dharma, or way of life.",art_culture
"Mathematics is an area of knowledge that includes the topics of numbers, formulas and related structures, shapes and the spaces in which they are contained, and quantities and their changes.",science
